projectid;CURRENT.DATE;simulationid;Year;PlantingDOY;AnthesisDOY;MaturityDOY
49655;15.09.1983;49655_00__1;1983;271;160;258
49655;17.09.1989;49655_00__1;1989;271;157;260
49655;12.09.1990;49655_00__1;1990;271;150;255
49655;19.09.1992;49655_00__1;1992;271;166;263
49655;24.09.1995;49655_00__1;1995;271;169;267
49655;23.09.1998;49655_00__1;1998;271;158;266
49655;22.09.1999;49655_00__1;1999;271;168;265
49655;17.09.2000;49655_00__1;2000;271;156;261
49655;24.09.2001;49655_00__1;2001;271;164;267
49655;11.09.2002;49655_00__1;2002;271;157;254
49655;22.08.2007;49655_00__1;2007;271;133;234
49655;22.09.2008;49655_00__1;2008;271;161;266
49655;25.09.2009;49655_00__1;2009;271;169;268
49655;19.09.2012;49655_00__1;2012;271;160;263
49655;08.09.2014;49655_00__1;2014;271;148;251
49655;14.09.2015;49655_00__1;2015;271;159;257
49655;07.09.2016;49655_00__1;2016;271;155;251
49655;30.08.2018;49655_00__1;2018;271;152;242
49655;01.09.2019;49655_00__1;2019;271;154;244
49655;02.09.2020;49655_00__1;2020;271;150;246
49655;20.09.2021;49655_00__1;2021;271;165;263
49655;19.08.2022;49655_00__1;2022;271;138;231
