projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49662;28.08.1979;49662_00__1;1979;240;28.08.1979;false;2.006160;271;05.10.1978;278;27.07.1979;208;NULL;NULL;28.08.1979;240;28.08.1979;13.493492;12.045754;4.757019;10.300800;24.645165;6.727038;1.800000;1.800000;993.500000;6763.579000;12.627107;4.686281;0.513116;0.969792;0.988430;0.973283;0.955086;0.6820761331678739;275.830047;54.660224;5.466022;0.428378;2240.317498;3.703004;120.457540;28.550749;3.628750;0.000000;-33.298289;403.165677;484.762849;748.216678;1046.435082;1129.732656
49662;04.09.1980;49662_00__1;1980;248;04.09.1980;false;2.020560;271;06.10.1979;279;03.08.1980;216;NULL;NULL;04.09.1980;248;04.09.1980;13.493492;12.045754;4.563247;10.450572;25.815806;6.617290;1.800000;1.800000;566.500000;4003.973000;12.512869;4.454960;0.873293;0.950431;0.978552;0.947549;0.920569;0.6714756356390053;286.358956;56.269516;5.626952;0.428378;2084.639772;5.588847;120.457540;11.283246;1.896636;0.000000;-33.476439;159.126903;523.764447;584.291479;670.237987;652.608945
49662;16.08.1981;49662_00__1;1981;228;16.08.1981;false;2.016960;271;03.10.1980;277;16.07.1981;197;NULL;NULL;16.08.1981;228;16.08.1981;13.493492;12.045754;4.172406;9.513539;23.541696;6.809815;1.800000;1.800000;619.000000;3491.318000;12.614162;5.119653;0.880668;0.970522;0.982659;0.964917;0.952779;0.6903412696032878;266.632543;53.727021;5.626952;0.428378;2212.172858;6.393563;120.457540;15.354442;5.022580;0.000000;-30.375082;216.186012;473.206815;533.776907;612.696795;586.546758
49662;19.08.1982;49662_00__1;1982;231;19.08.1982;false;2.002920;271;03.10.1981;276;23.07.1982;204;NULL;NULL;19.08.1982;231;19.08.1982;13.493492;12.045754;0.755404;5.144797;16.556346;6.452694;1.800000;1.800000;536.100000;4198.951000;12.971739;4.375272;0.745680;0.974457;0.986413;0.985094;0.973138;0.5750767931463825;234.953887;47.714772;5.372702;0.428378;1399.148977;3.802035;120.457540;15.614453;5.647654;0.000000;-25.792534;225.961594;372.988515;459.652657;720.083937;710.060006
49662;02.08.1983;49662_00__1;1983;214;02.08.1983;false;2.017230;271;03.10.1982;276;07.07.1983;188;NULL;NULL;02.08.1983;214;02.08.1983;13.493492;12.045754;2.402158;7.885535;22.093531;6.550717;1.800000;1.800000;432.300000;3676.635000;14.193966;5.829310;0.807785;0.982662;0.985632;0.977795;0.974825;0.5985772560267999;259.808923;50.975029;5.097503;0.428378;2579.511873;7.412390;120.457540;10.914921;1.598256;0.000000;-33.816663;151.637299;412.895537;462.983877;648.773851;641.104018
49662;30.08.1984;49662_00__1;1984;243;30.08.1984;false;2.026140;271;04.10.1983;277;31.07.1984;213;NULL;NULL;30.08.1984;243;30.08.1984;13.493492;12.045754;3.688060;9.345841;23.959531;6.850910;1.800000;1.800000;570.000000;4227.109000;13.397208;5.405838;0.798904;0.969025;0.984772;0.967401;0.951655;0.7261242802766162;275.046281;54.088866;5.408887;0.428378;2178.712561;5.529727;120.457540;10.053454;1.054939;0.000000;-35.268370;140.693549;465.945412;547.290621;704.365042;710.620182
49662;23.08.1985;49662_00__1;1985;235;23.08.1985;false;2.023710;271;02.10.1984;276;23.07.1985;204;NULL;NULL;23.08.1985;235;23.08.1985;13.493492;12.045754;2.803599;8.094723;22.184112;7.192026;1.800000;1.800000;463.900000;3661.546000;11.978771;4.317039;0.839042;0.981024;0.986034;0.964791;0.960177;0.6059598489570572;273.522001;54.444160;5.444416;0.428378;2107.184320;5.885990;120.457540;7.405848;0.134518;0.000000;-35.678703;103.673402;436.244872;503.176109;629.479759;607.096407
49662;19.08.1986;49662_00__1;1986;231;19.08.1986;false;2.024700;271;03.10.1985;276;21.07.1986;202;NULL;NULL;19.08.1986;231;19.08.1986;13.493492;12.045754;2.411759;8.529986;24.391590;6.780207;1.800000;1.800000;527.900000;3888.808000;12.605540;4.293629;0.823175;0.974512;0.986150;0.953399;0.942167;0.7042366888646506;291.390191;58.419362;5.841936;0.428378;2232.595373;6.184475;120.457540;10.037697;0.961649;0.000000;-37.878292;140.398268;466.514997;539.707305;675.944395;659.977457
49662;01.09.1987;49662_00__1;1987;244;01.09.1987;false;2.017680;271;03.10.1986;276;29.07.1987;210;NULL;NULL;01.09.1987;244;01.09.1987;13.493492;12.045754;5.399430;11.483715;27.215170;7.007750;1.800000;1.800000;629.500000;3941.655000;11.770370;3.953968;0.858059;0.964622;0.986772;0.952896;0.931126;0.8091815527111476;304.096102;58.134175;5.841936;0.428378;2771.917495;7.333115;120.457540;13.773216;3.343264;0.000000;-34.058095;196.288112;513.032722;581.401059;648.182137;627.905325
49662;10.08.1988;49662_00__1;1988;223;10.08.1988;false;2.034960;271;06.10.1987;279;10.07.1988;192;NULL;NULL;10.08.1988;223;10.08.1988;13.493492;12.045754;3.755877;8.417073;20.552706;6.051505;1.800000;1.800000;518.500000;3566.541000;13.153779;5.717442;0.815468;0.948883;0.976744;0.976744;0.948883;0.5139655286422355;233.404810;45.765591;5.813417;0.428378;1465.257342;4.259469;120.457540;14.339157;3.491090;0.000000;-35.322229;201.682052;406.119262;463.019738;621.559056;601.659855
